Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Conflicting Accounts: The Creation and Crash of the Saatchi and Saatchi Advertising Empire,"By Goldman, Kevin","On December 16, 1994, a bloodletting took place in the stylish sixth-floor boardroom at Saatchi & Saatchi Company PLC, once the world's largest advertising agency holding company. Maurice Saatchi, the 48 year-old chairman who co-founded the company in 1970 with his older brother Charles, was fired by the board of directors under threat by the firm's largest shareholders. Less than a month later, Maurice started a rival ad agency and quickly snapped up former Saatchi & Saatchi clients, most importantly British Airways. Kevin Goldman, the former daily advertising columnist for the Wall Street Journal, spoke to everyone connected with this headline-making saga -- including Maurice Saatchi and his reclusive brother Charles -- and witnessed important business meetings, including Maurice Saatchi's winning pitch to British Airways. Goldman traces every step the Saatchi brothers took, from their youth as Iraqi Jewish immigrants in North London to their business merger in 1970, when, with little more than sheer audacity, the opened an ad agency with a full-page announcement ad in the London Sunday Times. Through bold and brash actions, the agency began an acquisitions binge, taking over many of the ad industry's giants -- including Ted Bates, Backer & Spielvogel, Dancer Fitzgerald Sample, and Garland-Compton -- to become the number one ad company in the world. But, once they acquired a company, the brothers lost interest, often refusing to meet with its executives again. This disdain would come back to haunt them. Also chronicled is the brothers' rich lifestyle, which critics claim was funded by the company. This tale features a rich cast of supporting players: Jeremy Sinclair, a creative advertising genius who was fiercely loyal to the brothers, was one of the executives who resigned after Maurice was fired. Bill Muirhead, another loyalist, was responsible for keeping clients happy. Robert Louis-Dreyfus, a globe-trotting native of France, was brought in by the Saatchis in 1989 when the company was teetering on the edge of bankruptcy. Louis-Dreyfus brought in Charles Scott, a self-described numbers cruncher uncomfortable with the glitzy world of advertising, to help sort out the company's complex finances. And leading the anti-Maurice movement was David Herro, a thirty-three-year-old American money manager whose group owned approximately 10 percent of Saatchi stock. Built into the Saatchi story is the bigger picture of the dramatic changes in advertising in the 1980s, such as the merger mania and ad agency consolidations that swept Madison Avenue, including the British takeover of major agencies. The story of the decline and crash of Saatchi & Saatchi is a universal tale of corporate greed and ineffective management. It is the story of an ugly, publicly fought civil war in an industry that is supposed to know the steep price paid for an image run amok."," Business & Economics , Advertising & Promotion",Touchstone,5.29,January,1998
What Went Wrong at Enron: Everyone's Guide to the Largest Bankruptcy in U.S. History,"By Fusaro, Peter C. and Miller, Ross M.",," Business & Economics , Finance , General",Wiley,5.29,June,2002
"The Addictive Organization: Why We Overwork, Cover Up, Pick Up the Pieces, Please the Boss, and Perpetuate S","By Schaef, Anne Wilson and Fassel, Diane",," Psychology , General",HarperOne,4.99,October,1990
From the Silent Earth: A Report on the Greek Bronze Age,By Joseph Alsop,,,Harper & Row,6.22,January,1964
Panic Disorder and Its Treatment (Medical Psychiatry Series),"By Pollack, Mark H. (EDT) and Rosenbaum, J. F. (EDT)","Practical in approach and up to date in content, Panic Disorder and Its Treatment provides a clear and clinically relevant summary of the current knowledge on this challenging illness, covering symptoms, care, cost, comorbidities, and quality of life. Contains algorithms and tables offering at-a-glance drug treatment options and an appendix with measures for assessing symptom severity and therapeutic response! Written by leading authorities on the etiology, course, and management of this condition, Panic Disorder and Its Treatmentpromotes improved recognition of symptoms in pychiatric and nonpsychiatric settings, including the primary care physician's office or the emergency room reviews evidence from numerous sources on the prognosis of panic disorder, emphasizing the potential for chronicity and recurrence examines the latest advances implicating neurochemical, neurophysiological, and functional neuroanatomical abnormalities in the pathogenesis of panic disorder analyzes risk factors for the illness, including genetics, temperment, developmental experiences, and life events explores available pharmacotherapies for panic disorders, including selective serotonin-reuptake inhibitors investigates panic attacks and panic disorder from a cognitive-behavioral perspective, detailing specific therapies targeted to control physical sensations presents clinical strategies for treatment-refractory patients, assuring optimal diagnostic and therapeutic efforts for nonresponders and more! Panic Disorder and Its Treatment serves as insightful reading for psychiatrists and behavioral scientists, clinical psychopharmacologists, neuropsychiatrists, clinical psychologists, clinical social workers, and medical students, residents, and fellows in these disciplines. It is also useful for primary care physicians, including internists, family doctors, and generalists, as well as emergency room staff, who are often the first health care professionals to evaluate the patient."," Psychology , Psychopathology , General",Informa Healthcare,5.41,May,1998
Henry VIII (English Monarchs Series),"By Scarisbrick, J. J.","This detailed biography concentrates on the domestic life of the monarch, foreign affairs in which he was involved and his influence on religion. Bibliogs"," Biography & Autobiography , Military",University of California Press,5.47,October,1972
The Moral Intelligence of Children,"By Coles, Robert","The award-winning author of The Spiritual Life of Children shares his thoughts on how to teach morality to children, defining moral intelligence and explaining how to foster a child's conscience and spiritual growth. 75,000 first printing. Tour."," Psychology , General",Random House,5.29,January,1997
"Concordance to the New English Bible, New Testament,","By Elder, E",,,Zondervan Pub. House,10.99,January,1965
Life at the Edge: Readings from Scientific American Magazine,"By Gould, James L. and Gould, Carol Grant (EDT)","Readings from  Scientific American  on life in extreme environments. Annotation copyright Book News, Inc. Portland, Or.",,W H Freeman & Co,4.99,April,1989
Cook Healthy: Cook Quick,"By Wesler, Cathy A.",," Cooking , Health & Healing , Low Fat",UNKNO,5.18,January,1995
Images Of War: The Artist's Vision of World War II,"By McCormick, Ken",,,Orion Books,10.02,October,1990
Becoming Soul Mates: Cultivating Spiritual Intimacy in the Early Years of Marriage,"By Parrott, Les","Every couple has a restless aching, not just to know God individually but to experience God together. But how? How do you really allow God to fill the soul of your marriage? Becoming Soul Mates gives you a road map for cultivating rich spiritual intimacy in your relationship. Written by the creators of the dynamic Saving Your Marriage Before It Starts book and program, becoming Soul Mates is a unique and insightful devotional that helps you dig deep for a strong spiritual foundation in your marriage. Fifty-two practical weekly devotions help you and your partner cross the hurdles of marriage to grow closer than you&apos;ve ever imagined. In each session, you&apos;ll find: - An insightful devotion that focuses on marriage-related topics - A key passage of Scripture - Questions that will spark discussions on crucial issues - Insights from real-life soul mates like Pat and Shirley Boone, Bill and Vonette Bright, Norm and Joyce Wright, and John and Barbi Townsend - Questions that will help you and your partner better understand each other&apos;s unique needs and remember them in prayer during the week - A brief prayer that will help you both draw closer together and close to God. Becoming Soul Mates is a valuable resource for mining the rich potential of your marriage. Its principles, proven in the Parrotts&apos; own relationship, will help you make your journey as a couple all God intends it to be. With the strength that comes from a deeply shared spiritual intimacy, your marriage can flourish in the midst of life&apos;s challenges. Start building on the closeness you&apos;ve got today -- and reap the rewards of a deeper, more satisfying relationship in the years ahead."," Family & Relationships , Reference",Zondervan,5.29,October,1995
Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,"By Moore, Thomas","A therapist draws on the world's religions, music, art, and his own experiences with patients to examine the connections between spirituality and the problems of individuals and society. Reprint. 150,000 first printing. $200,000 ad/promo."," Self-help , General",HarperPerennial,4.99,January,1994
Victims of Progress,"By Bodley, John H.",,,Cummings Pub.Co.,4.99,September,1975
Inside the Tornado: Marketing Strategies from Silicon Valley's Cutting Edge,"By Moore, Geoffrey A.","""The chasm is where high-tech fortunes are lost... the tornado is where they are made.""-- Steve Jobs, Founder & CEO, Next Computer, Inc.    Now, in this fascinating sequel, Moore shows how to capitalize on the profit-rich niches and hyper-growth markets beyond the chasm. Continuing to chart the impact of the Technology Adoption Life Cycle, he explores its effects not just on marketing but on overall business planning, especially strategic partnerships, competitive advantage, positioning and organizational leadership. Moore's most startling lesson is: ""As markets move from stage to stage in the Life Cycle, the winning strategy does not just change -- it actually reverses the prior strategy. The very skills that you've just perfected become your biggest liabilities; and if you can't put them aside to acquire new ones, then you're in for tough times."" As challenging as this lesson is to apply, Moore leads the way. Using actual examples of cutting-edge firms, he applies the Life Cycle model to all aspects of managing a market-focused business strategy, including how to manage people effectively through each phase of the cycle. There are significant management implications: Chasm-crossers who love the customer intimacy of niches may rebel against the depersonalizing power of the tornado; tornado managers who relish the gales of hyper-growth may resist the inevitable return to the niche, in the guise of mass customization, once the rush to the new paradigm subsides. All industries relying on technology -- not just computer hardware, software and telecommunications, but entertainment, publishing, broadcasting, banking, insurance, health care, aerospace, defense, utilities, pharmaceuticals and retail -- must master Moore's lessons to see the year 2000. If you are marketing technology-based products or managing the people who do, then you will find yourself Inside the Tornado."," Business & Economics , Marketing , General",Harper Business,5.29,October,1995
Sunset at Rosalie: A Novel,"By McLaughlin, Ann L.",Tells the story of a young girl and her family's country life in Mississippi during the years prior to World War I," Fiction , General",Daniel & Daniel Pub,5.0,June,1996
"The Girlfriends' Guide to Surviving the First Year of Motherhood, Packaging May Vary","By Iovine, Vicki","When it comes to your new baby, everyone from Dr. Spock to Dr. Brazleton has an armful of advice. But no one's delivering any tips on how you can care for yourself. Now, four-time delivery room veteran Vicki Iovine answers your questions, calms your fears, and cracks you up as only a girlfriend can, with straight advice and hilarious observations on... ""Baby euphoria"": Is it a mind-altering drug?""Husband? What Husband?"": Taking care of the big baby, as well as the little baby""I Want My Old Body Back!"": What you can fix and what you can't""The Droning Phenomenon"": The inability to discuss anything but your baby for more than thirty seconds""Do I Have to Become Carol Brady?"": Conquering your fear of being a less-than-perfect mother""Competitive Mothering"": Coping with know-it-alls, finger-pointers, and others who try to ""Out-Mom"" youNOTE: Pausing to read this book may be the only selfish thing you do all year, since you'll have time for nothing else!"," Family & Relationships , Parenting , Motherhood",TarcherPerigee,4.99,October,1997
